ticket_id,summary,description,comments,resolution,component,status,issue_type,created_date,resolved_date
MESOS-1001,Docker executor fails during startup,"Containers fail to launch after restarting the Mesos agent. The executor logs show a 'connection refused' error when contacting the Docker daemon socket.","Reproduced on 3 agents after a rolling restart. Looks like the daemon socket is stale until Docker itself is restarted.","Restarting the Docker daemon after the agent restart resolved the stale socket issue. Added a note to the runbook to restart Docker before Mesos agent on maintenance windows.",docker,Resolved,Bug,2023-01-10,2023-01-14
MESOS-1002,Agent fails to re-register after network partition,"When a network partition heals, the agent does not automatically re-register with the master and remains marked as unreachable.","Master logs show the agent's re-registration timeout expiring before the partition healed. Increasing the timeout was suggested.",,networking,Open,Bug,2023-02-02,
MESOS-1003,Persistent volume not reattached after agent restart,"After restarting an agent that hosts persistent volumes, tasks fail to reattach to their existing persistent volume and instead attempt to create a new one.","Confirmed this only happens when the agent work_dir is on a different mount than expected. Checked disk profile module for related issues.","Fixed by ensuring the agent is restarted with the same --work_dir flag used originally, and by pinning the disk profile module version. Documented in the persistent volumes runbook.",storage,Resolved,Bug,2023-02-20,2023-03-01
MESOS-1004,Framework fails to receive offers after scale-down,"After scaling down the cluster, one framework stops receiving resource offers even though resources are available.",,,scheduler,Open,Bug,2023-03-05,
MESOS-1005,Improve logging for executor registration timeouts,"Executor registration timeouts are logged with insufficient context, making it hard to tell which agent or task caused the timeout.","Agreed this is a quick win. Added agent_id and task_id to the log line.","Added agent_id, task_id, and elapsed_ms fields to the executor registration timeout log message.",logging,Resolved,Improvement,2023-03-10,2023-03-12
MESOS-1006,Docker containers leak file descriptors under high task churn,"Under high task churn (many short-lived tasks), the Docker daemon on the agent host accumulates open file descriptors until it hits the OS limit and stops accepting new containers.","Tracked down to log driver not closing streams cleanly on fast container exit. Similar to a known upstream Docker issue.","Upgraded the Docker daemon version and set an explicit ulimit for the mesos-agent systemd unit. No recurrence after two weeks of monitoring.",docker,Resolved,Bug,2023-04-01,2023-04-18
MESOS-1007,Master crashes on malformed framework re-registration message,"Sending a malformed re-registration message from a custom framework causes the master process to crash instead of rejecting the message.","Crash confirmed via core dump analysis. Root cause is missing validation on the FrameworkInfo protobuf before processing.","Added strict validation of FrameworkInfo fields on re-registration; malformed messages are now rejected with an error response instead of crashing the master.",master,Resolved,Bug,2023-04-22,2023-05-02
MESOS-1008,Add support for cgroups v2 resource isolation,"Requesting support for cgroups v2 so agents can run on newer Linux kernels/distros that have dropped cgroups v1.","Significant effort; will require changes to the isolator module. Tracked as a multi-release effort.",,isolation,Open,New Feature,2023-05-01,
MESOS-1009,Disk usage metrics incorrect for overlay filesystem,"Disk usage reported for tasks using the overlay filesystem driver is consistently lower than actual usage, causing disk quota checks to pass when they should fail.","Root cause: disk usage collector was only summing the upper directory, not accounting for merged layers.","Updated the disk usage collector to account for the full overlay merged directory size. Verified against manual du measurements.",storage,Resolved,Bug,2023-05-15,2023-06-02
MESOS-1010,VPN-based agent registration fails after credential rotation,"Agents connecting to the master over a VPN fail to re-register after the corporate VPN credentials are rotated, even though the underlying network path is otherwise healthy.","Similar symptom to MESOS-1002 but root cause is different -- this is a credential/auth issue, not a partition/timeout issue.","Documented the credential rotation procedure to include restarting the mesos-agent process so it re-authenticates against the VPN concentrator using the new credentials.",networking,Resolved,Bug,2023-06-10,2023-06-15
